# cuda_transfer_trace_v1 coverage=ordinary_backend_set_get_only timing=host_API_wall_not_DMA
id,context,request_id,seq_id,phase,pos_min,pos_max,backend_api,direction,tensor,offset_bytes,size_bytes,device,host_kind,pointer_status,start_monotonic_ns,copy_api_wall_ns,sync_api_wall_ns,copy_status,sync_status
87,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-38",0,127016,0,pageable,0,862941800109548,16511,260,0,0
88,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-38#0",0,6451200,0,pageable,0,862941867757494,316106,22101,0,0
89,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-39 (reshaped)",0,645120,0,pageable,0,862941868802736,53603,710,0,0
90,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-39",0,127016,0,pageable,0,862941868875050,16811,370,0,0
91,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-39#0",0,6451200,0,pageable,0,862941937809180,307815,22181,0,0
92,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-40 (reshaped)",0,645120,0,pageable,0,862941938939066,51803,510,0,0
93,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-40",0,127016,0,pageable,0,862941939005999,14851,440,0,0
94,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-40#0",0,6451200,0,pageable,0,862942033385342,336126,20411,0,0
95,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-41 (reshaped)",0,645120,0,pageable,0,862942034550499,55183,640,0,0
96,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-41",0,127016,0,pageable,0,862942034617183,17261,360,0,0
97,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-41#0",0,6451200,0,pageable,0,862942045027979,289645,22531,0,0
98,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-42 (reshaped)",0,645120,0,pageable,0,862942046121904,51792,400,0,0
99,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-42",0,127016,0,pageable,0,862942046184577,16370,260,0,0
100,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-42#0",0,6451200,0,pageable,0,862942055203454,294015,21081,0,0
101,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-43 (reshaped)",0,645120,0,pageable,0,862942056225915,53732,570,0,0
102,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-43",0,127016,0,pageable,0,862942056298778,16531,260,0,0
103,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-43#0",0,6451200,0,pageable,0,862942065192380,287054,22041,0,0
104,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-44 (reshaped)",0,645120,0,pageable,0,862942066279663,51823,540,0,0
105,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-44",0,127016,0,pageable,0,862942066340417,16580,260,0,0
106,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-44#0",0,6451200,0,pageable,0,862942075902081,296525,21671,0,0
107,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-45 (reshaped)",0,645120,0,pageable,0,862942077008256,54402,671,0,0
108,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-45",0,127016,0,pageable,0,862942077078089,16871,410,0,0
109,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-45#0",0,6451200,0,pageable,0,862942088596521,308475,21881,0,0
110,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-46 (reshaped)",0,645120,0,pageable,0,862942089712066,52353,620,0,0
111,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-46",0,127016,0,pageable,0,862942089770309,16811,430,0,0
112,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-46#0",0,6451200,0,pageable,0,862942102335522,289985,22211,0,0
113,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-47 (reshaped)",0,645120,0,pageable,0,862942103327882,51042,440,0,0
114,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-47",0,127016,0,pageable,0,862942103389625,16121,250,0,0
115,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-47#0",0,6451200,0,pageable,0,862942113887346,280253,22172,0,0
116,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#inp_out_ids#0",0,252,0,pageable,0,862942114225192,25662,8810,0,0
117,target,25,0,prefill,0,62,get_tensor_async,D2H,"result_output",0,62576640,0,pageable,0,862942114465234,18826784,0,0,-1
118,target,25,0,prefill,0,62,get_tensor_async,D2H,"result_mtp_embd",0,2580480,0,pageable,0,862942133332850,649633,0,0,-1
