seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max,shard,absolute_offset
38,0,1,63,blk.0.ffn_up_exps.weight,21,89,704000,62656000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1623694656
39,0,1,63,blk.0.ffn_up_exps.weight,21,90,704000,63360000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1624398656
40,0,1,63,blk.0.ffn_up_exps.weight,21,92,704000,64768000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1625806656
41,0,1,63,blk.0.ffn_up_exps.weight,21,95,704000,66880000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1627918656
42,0,1,63,blk.0.ffn_up_exps.weight,21,96,704000,67584000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1628622656
43,0,1,63,blk.0.ffn_up_exps.weight,21,98,704000,68992000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1630030656
44,0,1,63,blk.0.ffn_up_exps.weight,21,99,704000,69696000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1630734656
45,0,1,63,blk.0.ffn_up_exps.weight,21,100,704000,70400000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1631438656
46,0,1,63,blk.0.ffn_up_exps.weight,21,102,704000,71808000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1632846656
47,0,1,63,blk.0.ffn_up_exps.weight,21,106,704000,74624000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1635662656
48,0,1,63,blk.0.ffn_up_exps.weight,21,109,704000,76736000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1637774656
49,0,1,63,blk.0.ffn_up_exps.weight,21,117,704000,82368000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1643406656
50,0,1,63,blk.0.ffn_up_exps.weight,21,118,704000,83072000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1644110656
51,0,1,63,blk.0.ffn_up_exps.weight,21,119,704000,83776000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1644814656
