seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max
92,0,1,63,"blk.0.ffn_up_exps.weight",21,200,704000,140800000,704000,0,1,target,26,0,prefill,0,62
93,0,1,63,"blk.0.ffn_up_exps.weight",21,203,704000,142912000,704000,0,1,target,26,0,prefill,0,62
94,0,1,63,"blk.0.ffn_up_exps.weight",21,205,704000,144320000,704000,0,1,target,26,0,prefill,0,62
95,0,1,63,"blk.0.ffn_up_exps.weight",21,207,704000,145728000,704000,0,1,target,26,0,prefill,0,62
96,0,1,63,"blk.0.ffn_up_exps.weight",21,208,704000,146432000,704000,0,1,target,26,0,prefill,0,62
97,0,1,63,"blk.0.ffn_up_exps.weight",21,209,704000,147136000,704000,0,1,target,26,0,prefill,0,62
98,0,1,63,"blk.0.ffn_up_exps.weight",21,211,704000,148544000,704000,0,1,target,26,0,prefill,0,62
99,0,1,63,"blk.0.ffn_up_exps.weight",21,213,704000,149952000,704000,0,1,target,26,0,prefill,0,62
100,0,1,63,"blk.0.ffn_up_exps.weight",21,214,704000,150656000,704000,0,1,target,26,0,prefill,0,62
101,0,1,63,"blk.0.ffn_up_exps.weight",21,215,704000,151360000,704000,0,1,target,26,0,prefill,0,62
102,0,1,63,"blk.0.ffn_up_exps.weight",21,218,704000,153472000,704000,0,1,target,26,0,prefill,0,62
103,0,1,63,"blk.0.ffn_up_exps.weight",21,219,704000,154176000,704000,0,1,target,26,0,prefill,0,62
104,0,1,63,"blk.0.ffn_up_exps.weight",21,220,704000,154880000,704000,0,1,target,26,0,prefill,0,62
105,0,1,63,"blk.0.ffn_up_exps.weight",21,221,704000,155584000,704000,0,1,target,26,0,prefill,0,62
106,0,1,63,"blk.0.ffn_up_exps.weight",21,223,704000,156992000,704000,0,1,target,26,0,prefill,0,62
107,0,1,63,"blk.0.ffn_up_exps.weight",21,224,704000,157696000,704000,0,1,target,26,0,prefill,0,62
108,0,1,63,"blk.0.ffn_up_exps.weight",21,226,704000,159104000,704000,0,1,target,26,0,prefill,0,62
109,0,1,63,"blk.0.ffn_up_exps.weight",21,228,704000,160512000,704000,0,1,target,26,0,prefill,0,62
110,0,1,63,"blk.0.ffn_up_exps.weight",21,233,704000,164032000,704000,0,1,target,26,0,prefill,0,62
111,0,1,63,"blk.0.ffn_up_exps.weight",21,234,704000,164736000,704000,0,1,target,26,0,prefill,0,62
112,0,1,63,"blk.0.ffn_up_exps.weight",21,235,704000,165440000,704000,0,1,target,26,0,prefill,0,62
113,0,1,63,"blk.0.ffn_up_exps.weight",21,238,704000,167552000,704000,0,1,target,26,0,prefill,0,62
114,0,1,63,"blk.0.ffn_up_exps.weight",21,239,704000,168256000,704000,0,1,target,26,0,prefill,0,62
115,0,1,63,"blk.0.ffn_up_exps.weight",21,240,704000,168960000,704000,0,1,target,26,0,prefill,0,62
116,0,1,63,"blk.0.ffn_up_exps.weight",21,242,704000,170368000,704000,0,1,target,26,0,prefill,0,62
117,0,1,63,"blk.0.ffn_up_exps.weight",21,243,704000,171072000,704000,0,1,target,26,0,prefill,0,62
118,0,1,63,"blk.0.ffn_up_exps.weight",21,246,704000,173184000,704000,0,1,target,26,0,prefill,0,62
