seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max,shard,absolute_offset
42,216,1,63,blk.12.ffn_up_exps.weight,22,132,524800,69273600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,818567232
43,216,1,63,blk.12.ffn_up_exps.weight,22,135,524800,70848000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,820141632
44,216,1,63,blk.12.ffn_up_exps.weight,22,136,524800,71372800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,820666432
45,216,1,63,blk.12.ffn_up_exps.weight,22,139,524800,72947200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,822240832
46,216,1,63,blk.12.ffn_up_exps.weight,22,141,524800,73996800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,823290432
47,216,1,63,blk.12.ffn_up_exps.weight,22,144,524800,75571200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,824864832
48,216,1,63,blk.12.ffn_up_exps.weight,22,145,524800,76096000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,825389632
49,216,1,63,blk.12.ffn_up_exps.weight,22,151,524800,79244800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,828538432
50,216,1,63,blk.12.ffn_up_exps.weight,22,152,524800,79769600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,829063232
51,216,1,63,blk.12.ffn_up_exps.weight,22,153,524800,80294400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,829588032
52,216,1,63,blk.12.ffn_up_exps.weight,22,154,524800,80819200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,830112832
53,216,1,63,blk.12.ffn_up_exps.weight,22,155,524800,81344000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,830637632
54,216,1,63,blk.12.ffn_up_exps.weight,22,160,524800,83968000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,833261632
55,216,1,63,blk.12.ffn_up_exps.weight,22,161,524800,84492800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,833786432
56,216,1,63,blk.12.ffn_up_exps.weight,22,162,524800,85017600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,834311232
57,216,1,63,blk.12.ffn_up_exps.weight,22,165,524800,86592000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,835885632
58,216,1,63,blk.12.ffn_up_exps.weight,22,167,524800,87641600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,836935232
59,216,1,63,blk.12.ffn_up_exps.weight,22,174,524800,91315200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,840608832
60,216,1,63,blk.12.ffn_up_exps.weight,22,175,524800,91840000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,841133632
61,216,1,63,blk.12.ffn_up_exps.weight,22,176,524800,92364800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,841658432
62,216,1,63,blk.12.ffn_up_exps.weight,22,180,524800,94464000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,843757632
63,216,1,63,blk.12.ffn_up_exps.weight,22,189,524800,99187200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,848480832
64,216,1,63,blk.12.ffn_up_exps.weight,22,197,524800,103385600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,852679232
65,216,1,63,blk.12.ffn_up_exps.weight,22,198,524800,103910400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,853204032
66,216,1,63,blk.12.ffn_up_exps.weight,22,199,524800,104435200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,853728832
67,216,1,63,blk.12.ffn_up_exps.weight,22,200,524800,104960000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,854253632
