timestamp,mem_available_kib,gpu_util_pct,vram_used_mib,vram_free_mib,scope_memory_current_bytes
2026-09-05T03:23:48+02:00,47569160,0,2863,29285,33823215616
2026-09-05T03:23:49+02:00,47553096,0,2863,29285,33823043584
2026-09-05T03:23:49+02:00,47525008,0,2863,29285,33823043584
2026-09-05T03:23:50+02:00,47530788,0,2863,29285,33821777920
2026-09-05T03:23:50+02:00,47514612,0,25463,6685,33822740480
2026-09-05T03:23:51+02:00,47512956,8,25463,6685,33823215616
2026-09-05T03:23:52+02:00,47501328,8,25463,6685,33823027200
2026-09-05T03:23:52+02:00,47491636,8,25463,6685,33822699520
2026-09-05T03:23:53+02:00,47485788,7,25463,6685,33823059968
2026-09-05T03:23:53+02:00,47474072,8,25463,6685,33822642176
2026-09-05T03:23:54+02:00,47474852,7,25463,6685,33823350784
2026-09-05T03:23:54+02:00,47287224,7,25463,6685,33822998528
2026-09-05T03:23:55+02:00,47192660,7,25463,6685,33822728192
2026-09-05T03:23:55+02:00,47175404,8,25463,6685,33823027200
2026-09-05T03:23:56+02:00,47187516,7,25463,6685,33822994432
2026-09-05T03:23:56+02:00,47150760,6,25463,6685,33822883840
2026-09-05T03:23:57+02:00,47127380,7,25463,6685,33822801920
2026-09-05T03:23:57+02:00,47124972,7,25463,6685,33822838784
2026-09-05T03:23:58+02:00,47125660,6,25463,6685,33822969856
2026-09-05T03:23:58+02:00,47109572,8,25463,6685,33822818304
2026-09-05T03:23:59+02:00,47440304,0,25463,6685,33793978368
2026-09-05T03:23:59+02:00,47067564,1,26345,5803,33822097408
2026-09-05T03:24:00+02:00,47041204,0,26345,5803,33822375936
2026-09-05T03:24:00+02:00,47007060,0,26345,5803,33822908416
2026-09-05T03:24:01+02:00,46999004,0,26345,5803,33823055872
2026-09-05T03:24:01+02:00,46960232,0,26345,5803,33822068736
2026-09-05T03:24:02+02:00,46931488,0,26345,5803,33823166464
2026-09-05T03:24:02+02:00,46910388,0,26345,5803,33823129600
2026-09-05T03:24:03+02:00,47401892,0,26347,5801,33822089216
2026-09-05T03:24:03+02:00,47357592,0,26347,5801,33822797824
2026-09-05T03:24:04+02:00,47235024,0,26347,5801,33823150080
2026-09-05T03:24:05+02:00,47730552,0,26347,5801,33159020544
2026-09-05T03:24:05+02:00,47647464,0,26347,5801,33823059968
2026-09-05T03:24:06+02:00,47573076,0,26347,5801,33821822976
2026-09-05T03:24:06+02:00,47523532,0,26347,5801,33823670272
2026-09-05T03:24:07+02:00,47487724,0,26347,5801,33822760960
2026-09-05T03:24:07+02:00,47365280,0,26405,5743,33822867456
2026-09-05T03:24:08+02:00,47122168,10,26581,5567,33822236672
2026-09-05T03:24:08+02:00,47038580,25,26581,5567,33735032832
2026-09-05T03:24:09+02:00,47089708,46,26581,5567,33705947136
2026-09-05T03:24:09+02:00,47092304,17,26581,5567,33822838784
2026-09-05T03:24:10+02:00,47083616,21,26581,5567,33822916608
2026-09-05T03:24:10+02:00,47065244,17,26581,5567,33823059968
2026-09-05T03:24:11+02:00,47056776,23,26581,5567,33822732288
2026-09-05T03:24:11+02:00,47060724,25,26581,5567,33822588928
2026-09-05T03:24:12+02:00,47031528,21,26581,5567,33822826496
2026-09-05T03:24:12+02:00,47022344,23,26581,5567,33822597120
2026-09-05T03:24:13+02:00,46997980,19,26581,5567,33823301632
2026-09-05T03:24:13+02:00,46800796,8,26581,5567,33784475648
2026-09-05T03:24:14+02:00,46908224,1,26581,5567,33820925952
2026-09-05T03:24:14+02:00,47021708,1,26581,5567,33819226112
2026-09-05T03:24:15+02:00,47095772,29,26581,5567,33820528640
2026-09-05T03:24:15+02:00,47116144,42,26581,5567,33820798976
2026-09-05T03:24:16+02:00,47122096,31,26581,5567,33818677248
2026-09-05T03:24:17+02:00,47132044,41,26581,5567,33822638080
2026-09-05T03:24:17+02:00,47135760,38,26581,5567,33822826496
2026-09-05T03:24:18+02:00,47052216,45,26581,5567,33822961664
2026-09-05T03:24:18+02:00,47098372,0,26581,5567,33706942464
2026-09-05T03:24:19+02:00,47080468,45,26581,5567,33706528768
2026-09-05T03:24:19+02:00,47073356,45,26581,5567,33705717760
2026-09-05T03:24:20+02:00,47045668,48,26581,5567,33705635840
2026-09-05T03:24:20+02:00,46967324,45,26581,5567,33822670848
2026-09-05T03:24:21+02:00,46942200,0,26581,5567,33822072832
2026-09-05T03:24:21+02:00,46924188,0,26581,5567,33822072832
2026-09-05T03:24:22+02:00,47122136,0,26581,5567,33821470720
2026-09-05T03:24:22+02:00,47162732,0,25847,6301,
2026-09-05T03:24:23+02:00,47210336,0,3005,29143,
2026-09-05T03:24:23+02:00,47498220,0,3005,29143,
